Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RE,0.3885486,0.9857954,-0.247997,0.1803493,0.8965978,0.02877366,0.4034335,1.271312
RE,0.3873959,0.985643,-0.2496135,0.1798177,0.8963433,0.02865326,0.4042441,1.282482
RE,0.3873959,0.985643,-0.2496135,0.1798177,0.8963433,0.02865326,0.4042441,1.282482
RE,0.3862633,0.9854345,-0.2512704,0.1792032,0.8962375,0.02843924,0.4047663,1.293777
RE,0.3862633,0.9854345,-0.2512704,0.1792032,0.8962375,0.02843924,0.4047663,1.293777
RE,0.3852891,0.9854589,-0.2528144,0.1785114,0.8960807,0.02875397,0.4053965,1.305049
RE,0.3852891,0.9854589,-0.2528144,0.1785114,0.8960807,0.02875397,0.4053965,1.305049
RE,0.3843936,0.9854684,-0.2543115,0.1777793,0.8957968,0.02945868,0.4062939,1.316246
RE,0.3843936,0.9854684,-0.2543115,0.1777793,0.8957968,0.02945868,0.4062939,1.316246
RE,0.3837947,0.98559,-0.255827,0.1768782,0.8952898,0.03001887,0.407761,1.327307
RE,0.3837947,0.98559,-0.255827,0.1768782,0.8952898,0.03001887,0.407761,1.327307
RE,0.3831601,0.9856131,-0.257088,0.1761018,0.8947135,0.03088283,0.4092949,1.338389
RE,0.3831601,0.9856131,-0.257088,0.1761018,0.8947135,0.03088283,0.4092949,1.338389
RE,0.382691,0.9856373,-0.2582338,0.1754027,0.8940567,0.03160985,0.4109713,1.349798
RE,0.382691,0.9856373,-0.2582338,0.1754027,0.8940567,0.03160985,0.4109713,1.349798
RE,0.3821896,0.985522,-0.2591303,0.1746535,0.8932999,0.031632,0.4129297,1.360595
RE,0.3821896,0.985522,-0.2591303,0.1746535,0.8932999,0.031632,0.4129297,1.360595
RE,0.3817972,0.9853975,-0.2601402,0.173961,0.892535,0.03199523,0.4148436,1.371764
RE,0.3817972,0.9853975,-0.2601402,0.173961,0.892535,0.03199523,0.4148436,1.371764
RE,0.3815266,0.985216,-0.2610655,0.1733193,0.8915102,0.03223234,0.4172902,1.382875
RE,0.3815266,0.985216,-0.2610655,0.1733193,0.8915102,0.03223234,0.4172902,1.382875
RE,0.3813077,0.9850121,-0.2619569,0.1727782,0.8905879,0.03240156,0.4194653,1.393964
RE,0.3813077,0.9850121,-0.2619569,0.1727782,0.8905879,0.03240156,0.4194653,1.393964
RE,0.3809915,0.984816,-0.2629213,0.1722615,0.8898387,0.0324172,0.4212626,1.405084
RE,0.3809915,0.984816,-0.2629213,0.1722615,0.8898387,0.0324172,0.4212626,1.405084
